top,vectors,class,fold,superf,family
1,1,0.207,0.02,0.0,0.0
1,2,0.287,0.02,0.0,0.0
1,3,0.307,0.047,0.013,0.0
1,4,0.6,0.227,0.107,0.0
1,5,0.673,0.4,0.293,0.0
1,6,0.667,0.473,0.333,0.0
1,7,0.747,0.527,0.393,0.0
1,8,0.747,0.573,0.4,0.0
1,9,0.733,0.553,0.407,0.0
1,10,0.747,0.52,0.387,0.0
1,11,0.787,0.553,0.44,0.0
1,12,0.78,0.513,0.4,0.0
1,13,0.76,0.487,0.373,0.0
1,14,0.753,0.453,0.34,0.0
1,15,0.693,0.367,0.26,0.0
1,16,0.68,0.34,0.247,0.0
1,17,0.66,0.253,0.187,0.0
1,18,0.593,0.213,0.167,0.0
1,19,0.547,0.173,0.14,0.0
1,20,0.46,0.133,0.093,0.0
2,1,0.32,0.033,0.0,0.0
2,2,0.493,0.027,0.0,0.0
2,3,0.567,0.073,0.013,0.0
2,4,0.767,0.287,0.153,0.0
2,5,0.813,0.453,0.333,0.0
2,6,0.807,0.54,0.393,0.0
2,7,0.807,0.58,0.433,0.0
2,8,0.807,0.62,0.46,0.0
2,9,0.793,0.613,0.467,0.0
2,10,0.793,0.56,0.42,0.0
2,11,0.833,0.613,0.467,0.0
2,12,0.833,0.573,0.42,0.0
2,13,0.8,0.567,0.427,0.0
2,14,0.813,0.493,0.367,0.0
2,15,0.78,0.427,0.307,0.0
2,16,0.8,0.367,0.26,0.0
2,17,0.753,0.313,0.233,0.0
2,18,0.7,0.26,0.193,0.0
2,19,0.66,0.207,0.167,0.0
2,20,0.587,0.187,0.147,0.0
5,1,0.667,0.047,0.007,0.0
5,2,0.753,0.053,0.013,0.0
5,3,0.747,0.113,0.033,0.0
5,4,0.913,0.367,0.22,0.0
5,5,0.893,0.547,0.407,0.0
5,6,0.88,0.62,0.46,0.0
5,7,0.9,0.647,0.493,0.0
5,8,0.873,0.64,0.5,0.0
5,9,0.88,0.66,0.513,0.0
5,10,0.887,0.647,0.5,0.0
5,11,0.893,0.647,0.5,0.0
5,12,0.887,0.62,0.473,0.0
5,13,0.88,0.593,0.453,0.0
5,14,0.887,0.58,0.44,0.0
5,15,0.893,0.533,0.393,0.0
5,16,0.873,0.44,0.313,0.0
5,17,0.873,0.367,0.267,0.0
5,18,0.853,0.34,0.253,0.0
5,19,0.84,0.287,0.22,0.0
5,20,0.82,0.247,0.193,0.0
10,1,0.847,0.08,0.013,0.0
10,2,0.873,0.107,0.053,0.0
10,3,0.907,0.147,0.047,0.0
10,4,0.947,0.427,0.3,0.0
10,5,0.933,0.6,0.447,0.0
10,6,0.92,0.647,0.493,0.0
10,7,0.92,0.66,0.513,0.0
10,8,0.913,0.667,0.527,0.0
10,9,0.933,0.68,0.547,0.0
10,10,0.933,0.673,0.533,0.0
10,11,0.933,0.68,0.527,0.0
10,12,0.927,0.64,0.493,0.0
10,13,0.933,0.633,0.487,0.0
10,14,0.927,0.613,0.48,0.0
10,15,0.92,0.573,0.427,0.0
10,16,0.913,0.487,0.333,0.0
10,17,0.933,0.44,0.32,0.0
10,18,0.927,0.4,0.287,0.0
10,19,0.927,0.347,0.253,0.0
10,20,0.913,0.313,0.253,0.0
