top,vectors,class,fold,superf,family
1,1,0.733,0.413,0.3,0.0
1,2,0.787,0.473,0.36,0.0
1,3,0.76,0.473,0.353,0.0
1,4,0.727,0.453,0.353,0.0
1,5,0.76,0.48,0.347,0.0
1,6,0.747,0.48,0.36,0.0
1,7,0.767,0.487,0.36,0.0
1,8,0.767,0.48,0.36,0.0
1,9,0.747,0.5,0.38,0.0
1,10,0.74,0.493,0.38,0.0
1,11,0.733,0.507,0.387,0.0
1,12,0.76,0.513,0.387,0.0
1,13,0.787,0.533,0.407,0.0
1,14,0.773,0.513,0.387,0.0
1,15,0.76,0.52,0.393,0.0
1,16,0.767,0.547,0.413,0.0
1,17,0.76,0.513,0.4,0.0
1,18,0.773,0.493,0.38,0.0
1,19,0.787,0.5,0.393,0.0
1,20,0.78,0.513,0.4,0.0
2,1,0.807,0.44,0.327,0.0
2,2,0.847,0.5,0.373,0.0
2,3,0.84,0.52,0.387,0.0
2,4,0.793,0.513,0.387,0.0
2,5,0.833,0.533,0.387,0.0
2,6,0.833,0.54,0.407,0.0
2,7,0.84,0.533,0.4,0.0
2,8,0.84,0.533,0.407,0.0
2,9,0.813,0.553,0.427,0.0
2,10,0.813,0.547,0.42,0.0
2,11,0.827,0.553,0.42,0.0
2,12,0.82,0.573,0.433,0.0
2,13,0.833,0.58,0.44,0.0
2,14,0.813,0.573,0.427,0.0
2,15,0.813,0.573,0.42,0.0
2,16,0.813,0.587,0.427,0.0
2,17,0.82,0.587,0.427,0.0
2,18,0.833,0.567,0.42,0.0
2,19,0.84,0.573,0.42,0.0
2,20,0.833,0.573,0.42,0.0
5,1,0.86,0.52,0.4,0.0
5,2,0.907,0.567,0.433,0.0
5,3,0.9,0.56,0.407,0.0
5,4,0.9,0.573,0.427,0.0
5,5,0.907,0.58,0.433,0.0
5,6,0.913,0.593,0.447,0.0
5,7,0.913,0.593,0.447,0.0
5,8,0.913,0.58,0.44,0.0
5,9,0.9,0.607,0.46,0.0
5,10,0.907,0.613,0.473,0.0
5,11,0.893,0.627,0.473,0.0
5,12,0.887,0.62,0.467,0.0
5,13,0.9,0.627,0.473,0.0
5,14,0.887,0.627,0.473,0.0
5,15,0.873,0.633,0.473,0.0
5,16,0.873,0.627,0.473,0.0
5,17,0.893,0.62,0.467,0.0
5,18,0.893,0.62,0.467,0.0
5,19,0.887,0.627,0.473,0.0
5,20,0.887,0.62,0.473,0.0
10,1,0.907,0.54,0.42,0.0
10,2,0.947,0.607,0.48,0.0
10,3,0.94,0.607,0.467,0.0
10,4,0.913,0.593,0.46,0.0
10,5,0.94,0.613,0.467,0.0
10,6,0.947,0.62,0.467,0.0
10,7,0.94,0.62,0.467,0.0
10,8,0.933,0.633,0.48,0.0
10,9,0.94,0.66,0.507,0.0
10,10,0.927,0.653,0.507,0.0
10,11,0.927,0.64,0.493,0.0
10,12,0.927,0.633,0.493,0.0
10,13,0.927,0.64,0.493,0.0
10,14,0.927,0.633,0.487,0.0
10,15,0.933,0.653,0.5,0.0
10,16,0.933,0.653,0.487,0.0
10,17,0.94,0.653,0.493,0.0
10,18,0.927,0.633,0.48,0.0
10,19,0.927,0.647,0.487,0.0
10,20,0.927,0.64,0.493,0.0
