level,eigen_average_tm,eigen_average_gdt,gen_average_tm,gen_average_gdt,hh_average_tm,hh_average_gdt
t1,0.48,35.43,0.37,30.76,0.48,45.82
t2,0.44,30.45,0.33,24.9,0.46,43.95
t5,0.4,26.45,0.29,20.37,0.41,42.51
t10,0.37,22.61,0.26,17.71,0.39,42.85
level,eigen_variance_tm,eigen_variance_gdt,gen_variance_tm,gen_variance_gdt,hh_variance_tm,hh_variance_gdt
t1,0.02,253.11,0.01,213.52,0.02,362.01
t2,0.02,196.42,0.01,121.15,0.02,284.14
t5,0.01,158.95,0.01,81.84,0.02,205.74
t10,0.01,137.86,0.0,46.5,0.02,265.22
